parent_name	branch_grouping
A_LG.01	outgroup
A_LG.02	outgroup
A_LG.03	outgroup
A_LG.04	outgroup
A_LG.05	outgroup
A_LG.06	outgroup
A_LG.07	outgroup
A_LG.08	outgroup
A_LG.09	outgroup
A_LG.10	outgroup
A_LG.11	outgroup
A_LG.12	outgroup
A_LG.13	outgroup
A_LG.14	outgroup
A_LG.15	outgroup
A_LG.16	outgroup
A_LG.17	outgroup
A_LG.18	outgroup
A_LG.19	outgroup
A_LG.20	outgroup
A_LG.21	outgroup
A_LG.22	outgroup
A_LG.23	outgroup
A_LG.24	outgroup
A_LG.25	outgroup
SLL_SLC_SP	SLL_SLC_SP
A_LG.26	SLL_SLC_SP
A_LG.27	SLL_SLC_SP
A_LG.28	SLL_SLC_SP
A_LG.29	SLL_SLC_SP
A_LG.30	SLL_SLC_SP
SLL_SLC	SLL_SLC
SLL	SLL
A_LG.31	SLL
A_LG.32	SLL
A_LG.33	SLL
A_LG.34	SLL
A_LG.35	SLL
A_LG.36	SLL
A_LG.37	SLL
A_LG.38	SLL
A_LG.39	SLL
A_LG.40	SLL
A_LG.41	SLL
A_LG.42	SLL
A_LG.43	SLL
A_LG.44	SLL
A_LG.45	SLL
A_LG.46	SLL
A_LG.47	SLL
SLC	SLC
A_LG.48	SLC
A_LG.49	SLC
A_LG.50	SLC
A_LG.51	SLC
A_LG.52	SLC
A_LG.53	SLL_SLC_SP
A_LG.54	SLL_SLC_SP
A_LG.55	SLL_SLC_SP
A_LG.56	SLL_SLC_SP
A_LG.57	outgroup
A_LG.58	outgroup
A_LG.59	outgroup
