id	classification	colour
D.01	outgroup	#d0d0d0
D.02	outgroup	#d0d0d0
D.03	outgroup	#d0d0d0
PHAVU	outgroup	#d0d0d0
ARATH	outgroup	#d0d0d0
VITVN	outgroup	#d0d0d0
D.04	outgroup	#d0d0d0
COFEU	outgroup	#d0d0d0
D.05	outgroup	#d0d0d0
D.06	outgroup	#d0d0d0
PETAX	outgroup	#d0d0d0
PETIN	outgroup	#d0d0d0
D.07	outgroup	#d0d0d0
D.08	outgroup	#d0d0d0
NICBE	outgroup	#d0d0d0
NICTA	outgroup	#d0d0d0
D.09	outgroup	#d0d0d0
D.10	outgroup	#d0d0d0
D.11	outgroup	#d0d0d0
CAPC2	outgroup	#d0d0d0
CAPA2	outgroup	#d0d0d0
PHYGR	outgroup	#d0d0d0
D.12	outgroup	#d0d0d0
D.13	outgroup	#d0d0d0
SOMEL	outgroup	#d0d0d0
SOLRO	outgroup	#d0d0d0
D.14	outgroup	#d0d0d0
D.15	outgroup	#d0d0d0
D.16	outgroup	#d0d0d0
SA271	outgroup	#d0d0d0
D.17	outgroup	#d0d0d0
D.18	outgroup	#d0d0d0
SA275	outgroup	#d0d0d0
SA273	outgroup	#d0d0d0
SA102	outgroup	#d0d0d0
SOLDU	outgroup	#d0d0d0
D.19	outgroup	#d0d0d0
SOTUB	outgroup	#d0d0d0
SLL_SLC_SP_DWR	SLL_SLC_SP_DWR	#4875de
LA295	DWR	#93c47d
D.20	SLL_SLC_SP_DWR	#4875de
D.21	DWR	#93c47d
SOLPN	DWR	#93c47d
SOLHA	DWR	#93c47d
D.22	SLL_SLC_SP_DWR	#4875de
D.23	DWR	#93c47d
D.24	DWR	#93c47d
SOLPE	DWR	#93c47d
SOLCO	DWR	#93c47d
SOLCH	DWR	#93c47d
D.25	SLL_SLC_SP_DWR	#4875de
D.26	SLL_SLC_SP_DWR	#4875de
SLL_SLC_SP	SLL_SLC_SP	#ffd966
SLL_SLC	SLL_SLC	#ff9900
D.27	SLL_SLC	#ff9900
D.28	SLL_SLC	#ff9900
D.29	SLL_SLC	#ff9900
D.30	SLL_SLC	#ff9900
SLC	SLC	#ff9f9f
D.31	SLC	#ff9f9f
D.32	SLC	#ff9f9f
TS096	SLC	#ff9f9f
D.33	SLC	#ff9f9f
TS118	SLC	#ff9f9f
TS545	SLC	#ff9f9f
D.34	SLC	#ff9f9f
TS623	SLC	#ff9f9f
TS039	SLC	#ff9f9f
D.35	SLC	#ff9f9f
TS280	SLC	#ff9f9f
TS238	SLC	#ff9f9f
D.36	SLL	#c7263f
D.37	SLL	#c7263f
TS185	SLL	#c7263f
TS204	SLL	#c7263f
D.38	SLL	#c7263f
TS166	SLL	#c7263f
TS012	SLL	#c7263f
D.39	SLL	#c7263f
TS080	SLL	#c7263f
TS117	SLL	#c7263f
D.40	SLL	#c7263f
D.41	SLL	#c7263f
D.42	SLL	#c7263f
D.43	SLL	#c7263f
D.44	SLL	#c7263f
D.45	SLL	#c7263f
TS060	SLL	#c7263f
TS112	SLL	#c7263f
TS171	SLL	#c7263f
TS629	SLL	#c7263f
TS331	SLL	#c7263f
D.46	SLL	#c7263f
TS692	SLL	#c7263f
TS003	SLL	#c7263f
D.47	SLL	#c7263f
TS002	SLL	#c7263f
TS009	SLL	#c7263f
SLSL5	SLL	#c7263f
D.48	SLL	#c7263f
D.49	SLL	#c7263f
SWEET	SLL	#c7263f
SLM82	SLL	#c7263f
HEINZ	SLL	#c7263f
SP	SP	#43b3ff
D.50	SP	#43b3ff
D.51	SP	#43b3ff
D.52	SP	#43b3ff
D.53	SP	#43b3ff
LA209	SP	#43b3ff
TS022	SP	#43b3ff
TS265	SP	#43b3ff
TS413	SP	#43b3ff
D.54	SP	#43b3ff
D.55	SP	#43b3ff
D.56	SP	#43b3ff
TS222	SP	#43b3ff
TS439	SP	#43b3ff
TS421	SP	#43b3ff
D.57	SP	#43b3ff
TS156	SP	#43b3ff
TS015	SP	#43b3ff
LA128	SP	#43b3ff
SOLGA	DWR	#93c47d
D.58	DWR	#93c47d
SOLCW	DWR	#93c47d
SOLNE	DWR	#93c47d
